% DataCenterMapID 	Latitude	Longitude	InfoType	MappedFlag	Area	Provider	Country code	Subcontinental Zone code	City ID	City name	City Latitude	City Longitude	Information URL
967	38.913116	-77.22575	2	Yes	N/A	N/A	US	NAN	4744709	Arlington	38.88101	-77.10428	http://www.datacentermap.com/ajax/map.asp?id=967a1
968	34.047302	-118.2566	2	Yes	N/A	N/A	US	NAN	5368361	Los Angeles	34.05223	-118.24368	http://www.datacentermap.com/ajax/map.asp?id=968a1
969	51.514084	-0.072964	2	Yes	N/A	N/A	GB	EUW	2643741	City of London	51.51279	-0.09184	http://www.datacentermap.com/ajax/map.asp?id=969a1
970	53.41462	-6.214012	2	Yes	N/A	N/A	IE	EUW	2964574	Dublin	53.33306	-6.24889	http://www.datacentermap.com/ajax/map.asp?id=970a1
971	32.93309	-96.825836	2	Yes	N/A	N/A	US	NAN	4679195	Carrollton	32.95373	-96.89028	http://www.datacentermap.com/ajax/map.asp?id=971a1
972	42.3976	-71.26833	2	Yes	N/A	N/A	US	NAN	4931972	Cambridge	42.3751	-71.10561	http://www.datacentermap.com/ajax/map.asp?id=972a1
973	43.594807	-79.75073	2	Yes	N/A	N/A	CA	NAN	5907364	Brampton	43.68341	-79.76633	http://www.datacentermap.com/ajax/map.asp?id=973a1
974	48.92805	2.35189	2	Yes	N/A	N/A	FR	EUW	2988507	Paris	48.85341	2.3488	http://www.datacentermap.com/ajax/map.asp?id=974a1
975	53.41235	-6.369613	2	Yes	N/A	N/A	IE	EUW	2964574	Dublin	53.33306	-6.24889	http://www.datacentermap.com/ajax/map.asp?id=975a1
976	46.22435	6.061231	2	Yes	N/A	N/A	CH	EUW	2660646	Geneve	46.20222	6.14569	http://www.datacentermap.com/ajax/map.asp?id=976a1
977	38.625652	-90.19481	2	Yes	N/A	N/A	US	NAN	4407066	Saint Louis	38.62727	-90.19789	http://www.datacentermap.com/ajax/map.asp?id=977a1
978	39.56164	-104.83263	2	Yes	N/A	N/A	US	NAN	5416541	Centennial	39.57916	-104.87692	http://www.datacentermap.com/ajax/map.asp?id=978a1
979	39.949677	-75.15444	2	Yes	N/A	N/A	US	NAN	4560349	Philadelphia	39.95234	-75.16379	http://www.datacentermap.com/ajax/map.asp?id=979a1
980	41.853035	-87.61886	2	Yes	N/A	N/A	US	NAN	4887398	Chicago	41.85003	-87.65005	http://www.datacentermap.com/ajax/map.asp?id=980a1
981	37.55462	-122.06213	2	Yes	N/A	N/A	US	NAN	5350734	Fremont	37.54827	-121.98857	http://www.datacentermap.com/ajax/map.asp?id=981a1
982	33.7475	-84.57791	2	Yes	N/A	N/A	US	NAN	4180439	Atlanta	33.749	-84.38798	http://www.datacentermap.com/ajax/map.asp?id=982a1
983	33.341362	-111.900604	2	Yes	N/A	N/A	US	NAN	5289282	Chandler	33.30616	-111.84125	http://www.datacentermap.com/ajax/map.asp?id=983a1
984	37.72287	-122.39768	2	Yes	N/A	N/A	US	NAN	5391959	San Francisco	37.77493	-122.41942	http://www.datacentermap.com/ajax/map.asp?id=984a1
985	32.911533	-96.87321	2	Yes	N/A	N/A	US	NAN	4679195	Carrollton	32.95373	-96.89028	http://www.datacentermap.com/ajax/map.asp?id=985a1
986	33.91815	-118.38742	2	Yes	N/A	N/A	US	NAN	5359488	Inglewood	33.96168	-118.35313	http://www.datacentermap.com/ajax/map.asp?id=986a1
987	38.95009	-77.33224	2	Yes	N/A	N/A	US	NAN	4744709	Arlington	38.88101	-77.10428	http://www.datacentermap.com/ajax/map.asp?id=987a1
988	42.51846	-71.085724	2	Yes	N/A	N/A	US	NAN	4931972	Cambridge	42.3751	-71.10561	http://www.datacentermap.com/ajax/map.asp?id=988a1
989	37.369545	-121.9685	2	Yes	N/A	N/A	US	NAN	5393015	Santa Clara	37.35411	-121.95524	http://www.datacentermap.com/ajax/map.asp?id=989a1
990	37.333607	-121.88861	2	Yes	N/A	N/A	US	NAN	5392171	San Jose	37.33939	-121.89496	http://www.datacentermap.com/ajax/map.asp?id=990a1
991	35.22143	-80.83579	2	Yes	N/A	N/A	US	NAN	4460243	Charlotte	35.22709	-80.84313	http://www.datacentermap.com/ajax/map.asp?id=991a1
992	29.944908	-95.41595	2	Yes	N/A	N/A	US	NAN	4699066	Houston	29.76328	-95.36327	http://www.datacentermap.com/ajax/map.asp?id=992a1
993	33.4514	-112.07226	2	Yes	N/A	N/A	US	NAN	5308655	Phoenix	33.44838	-112.07404	http://www.datacentermap.com/ajax/map.asp?id=993a1
994	42.395504	-71.264336	2	Yes	N/A	N/A	US	NAN	4931972	Cambridge	42.3751	-71.10561	http://www.datacentermap.com/ajax/map.asp?id=994a1
995	35.221333	-80.83593	2	Yes	N/A	N/A	US	NAN	4460243	Charlotte	35.22709	-80.84313	http://www.datacentermap.com/ajax/map.asp?id=995a1
996	44.970688	-93.14798	2	Yes	N/A	N/A	US	NAN	5045360	Saint Paul	44.94441	-93.09327	http://www.datacentermap.com/ajax/map.asp?id=996a1
997	37.376316	-121.9526	2	Yes	N/A	N/A	US	NAN	5393015	Santa Clara	37.35411	-121.95524	http://www.datacentermap.com/ajax/map.asp?id=997a1
998	40.55288	-74.460594	2	Yes	N/A	N/A	US	NAN	5097529	Edison	40.51872	-74.4121	http://www.datacentermap.com/ajax/map.asp?id=998a1
999	37.34741	-121.94183	2	Yes	N/A	N/A	US	NAN	5393015	Santa Clara	37.35411	-121.95524	http://www.datacentermap.com/ajax/map.asp?id=999a1
1000	32.786934	-96.79406	2	Yes	N/A	N/A	US	NAN	4684888	Dallas	32.78306	-96.80667	http://www.datacentermap.com/ajax/map.asp?id=1000a1
1001	37.405884	-121.88891	2	Yes	N/A	N/A	US	NAN	5392171	San Jose	37.33939	-121.89496	http://www.datacentermap.com/ajax/map.asp?id=1001a1
1002	37.36954	-121.96855	2	Yes	N/A	N/A	US	NAN	5393015	Santa Clara	37.35411	-121.95524	http://www.datacentermap.com/ajax/map.asp?id=1002a1
1003	38.95554	-77.38038	2	Yes	N/A	N/A	US	NAN	4744709	Arlington	38.88101	-77.10428	http://www.datacentermap.com/ajax/map.asp?id=1003a1
1004	40.55391	-74.46057	2	Yes	N/A	N/A	US	NAN	5097529	Edison	40.51872	-74.4121	http://www.datacentermap.com/ajax/map.asp?id=1004a1
1005	40.76198	-74.02603	2	Yes	N/A	N/A	US	NAN	5128581	New York City	40.71427	-74.00597	http://www.datacentermap.com/ajax/map.asp?id=1005a1
1006	37.376812	-121.94902	2	Yes	N/A	N/A	US	NAN	5393015	Santa Clara	37.35411	-121.95524	http://www.datacentermap.com/ajax/map.asp?id=1006a1
1007	34.199272	-118.34366	2	Yes	N/A	N/A	US	NAN	5331835	Burbank	34.18084	-118.30897	http://www.datacentermap.com/ajax/map.asp?id=1007a1
1008	38.592773	-121.27278	2	Yes	N/A	N/A	US	NAN	5388881	Roseville	38.75212	-121.28801	http://www.datacentermap.com/ajax/map.asp?id=1008a1
1009	33.918346	-117.852295	2	Yes	N/A	N/A	US	NAN	5351247	Fullerton	33.87029	-117.92534	http://www.datacentermap.com/ajax/map.asp?id=1009a1
1010	25.795033	-80.34257	2	Yes	N/A	N/A	US	NAN	4158476	Hialeah	25.8576	-80.27811	http://www.datacentermap.com/ajax/map.asp?id=1010a1
1011	32.9798	-96.85558	2	Yes	N/A	N/A	US	NAN	4679195	Carrollton	32.95373	-96.89028	http://www.datacentermap.com/ajax/map.asp?id=1011a1
1012	33.345604	-111.89941	2	Yes	N/A	N/A	US	NAN	5317058	Tempe	33.41477	-111.90931	http://www.datacentermap.com/ajax/map.asp?id=1012a1
1013	38.629055	-90.197716	2	Yes	N/A	N/A	US	NAN	4407066	Saint Louis	38.62727	-90.19789	http://www.datacentermap.com/ajax/map.asp?id=1013a1
1014	39.02466	-77.41372	2	Yes	N/A	N/A	US	NAN	4744709	Arlington	38.88101	-77.10428	http://www.datacentermap.com/ajax/map.asp?id=1014a1
1639	22.367619	114.11666	1	Yes	N/A	N/A	HK	ASP	1818209	Tsuen Wan	22.36667	114.1	http://www.datacentermap.com/ajax/map.asp?id=1639a1
1640	53.28048	-6.375563	0	Yes	N/A	N/A	IE	EUW	2964574	Dublin	53.33306	-6.24889	http://www.datacentermap.com/ajax/map.asp?id=1640a1
1641	32.87951	-96.88919	0	Yes	N/A	N/A	US	NAN	4679195	Carrollton	32.95373	-96.89028	http://www.datacentermap.com/ajax/map.asp?id=1641a1
1638	22.28805	114.21182	1	Yes	N/A	N/A	HK	ASP	1819609	Kowloon	22.31667	114.18333	http://www.datacentermap.com/ajax/map.asp?id=1638a1
1028	25.79734	-80.229836	1	Yes	N/A	N/A	US	NAN	4164138	Miami	25.77427	-80.19366	http://www.datacentermap.com/ajax/map.asp?id=1028a1
1029	37.334484	-121.89133	1	Yes	N/A	N/A	US	NAN	5392171	San Jose	37.33939	-121.89496	http://www.datacentermap.com/ajax/map.asp?id=1029a1
1030	42.375717	-71.08078	1	Yes	N/A	N/A	US	NAN	4931972	Cambridge	42.3751	-71.10561	http://www.datacentermap.com/ajax/map.asp?id=1030a1
1031	41.875954	-87.63142	1	Yes	N/A	N/A	US	NAN	4887398	Chicago	41.85003	-87.65005	http://www.datacentermap.com/ajax/map.asp?id=1031a1
1032	40.72105	-74.00524	1	Yes	N/A	N/A	US	NAN	5128581	New York City	40.71427	-74.00597	http://www.datacentermap.com/ajax/map.asp?id=1032a1
1033	37.40499	-121.91692	1	Yes	N/A	N/A	US	NAN	5393015	Santa Clara	37.35411	-121.95524	http://www.datacentermap.com/ajax/map.asp?id=1033a1
1034	38.902454	-77.03017	1	Yes	N/A	N/A	US	NAN	4140963	Washington, D. C.	38.89511	-77.03637	http://www.datacentermap.com/ajax/map.asp?id=1034a1
1035	34.058655	-118.23695	1	Yes	N/A	N/A	US	NAN	5368361	Los Angeles	34.05223	-118.24368	http://www.datacentermap.com/ajax/map.asp?id=1035a1
1036	38.949783	-77.36606	1	Yes	N/A	N/A	US	NAN	4744709	Arlington	38.88101	-77.10428	http://www.datacentermap.com/ajax/map.asp?id=1036a1
1037	8.986278	-79.51946	1	Yes	N/A	N/A	PA	NAS	3703443	Panama	8.9936	-79.51973	http://www.datacentermap.com/ajax/map.asp?id=1037a1
1091	33.439186	-112.047714	0	Yes	N/A	N/A	US	NAN	5308655	Phoenix	33.44838	-112.07404	http://www.datacentermap.com/ajax/map.asp?id=1091a1
1092	52.335335	4.933526	1	Yes	N/A	N/A	NL	EUW	2759794	Amsterdam	52.37403	4.88969	http://www.datacentermap.com/ajax/map.asp?id=1092a1
1093	51.511654	-0.0060485	1	Yes	N/A	N/A	GB	EUW	2643741	City of London	51.51279	-0.09184	http://www.datacentermap.com/ajax/map.asp?id=1093a1
1094	52.344173	4.8278255	1	Yes	N/A	N/A	NL	EUW	2759794	Amsterdam	52.37403	4.88969	http://www.datacentermap.com/ajax/map.asp?id=1094a1
1096	35.753555	-78.73569	1	Yes	N/A	N/A	US	NAN	4459467	Cary	35.79154	-78.78112	http://www.datacentermap.com/ajax/map.asp?id=1096a1
1097	42.381016	-71.07203	1	Yes	N/A	N/A	US	NAN	4930956	Boston	42.35843	-71.05977	http://www.datacentermap.com/ajax/map.asp?id=1097a1
1098	35.85426	-78.595795	1	Yes	N/A	N/A	US	NAN	4487042	Raleigh	35.7721	-78.63861	http://www.datacentermap.com/ajax/map.asp?id=1098a1
1099	35.17955	-80.92786	1	Yes	N/A	N/A	US	NAN	4460243	Charlotte	35.22709	-80.84313	http://www.datacentermap.com/ajax/map.asp?id=1099a1
1101	33.783115	-84.3892	0	Yes	N/A	N/A	US	NAN	4180439	Atlanta	33.749	-84.38798	http://www.datacentermap.com/ajax/map.asp?id=1101a1
1126	43.6423	-79.37494	1	Yes	N/A	N/A	CA	NAN	6167865	Toronto	43.70011	-79.4163	http://www.datacentermap.com/ajax/map.asp?id=1126a1
1127	49.284138	-123.11205	1	Yes	N/A	N/A	CA	NAN	6173331	Vancouver	49.24966	-123.11934	http://www.datacentermap.com/ajax/map.asp?id=1127a1
1135	32.97539	-96.70776	1	Yes	N/A	N/A	US	NAN	4719457	Plano	33.01984	-96.69889	http://www.datacentermap.com/ajax/map.asp?id=1135a1
1136	29.9383	-95.41387	1	Yes	N/A	N/A	US	NAN	4699066	Houston	29.76328	-95.36327	http://www.datacentermap.com/ajax/map.asp?id=1136a1
1137	47.551785	-122.1158	0	Yes	N/A	N/A	US	NAN	5786882	Bellevue	47.61038	-122.20068	http://www.datacentermap.com/ajax/map.asp?id=1137a1
1138	47.6316	-122.13772	0	Yes	N/A	N/A	US	NAN	5786882	Bellevue	47.61038	-122.20068	http://www.datacentermap.com/ajax/map.asp?id=1138a1
1142	50.102146	8.635264	1	Yes	N/A	N/A	DE	EUW	2925533	Frankfurt am Main	50.11667	8.68333	http://www.datacentermap.com/ajax/map.asp?id=1142a1
1145	53.24397	6.531754	1	Yes	N/A	N/A	NL	EUW	2755251	Groningen	53.21917	6.56667	http://www.datacentermap.com/ajax/map.asp?id=1145a1
1149	42.446815	-83.256195	1	Yes	N/A	N/A	US	NAN	5014051	Warren	42.47754	-83.0277	http://www.datacentermap.com/ajax/map.asp?id=1149a1
1150	41.84442	-87.93908	1	Yes	N/A	N/A	US	NAN	4903279	Naperville	41.78586	-88.14729	http://www.datacentermap.com/ajax/map.asp?id=1150a1
1151	37.47214	-121.91942	1	Yes	N/A	N/A	US	NAN	5350734	Fremont	37.54827	-121.98857	http://www.datacentermap.com/ajax/map.asp?id=1151a1
