% Index	Latitude	Longitude	Country code	Subcontinental Zone code	Locality	IXP Name	Provider URL
34	-22.907104	-47.06324	BR	SAE	Campinas	PTT-CAS	http://www.datacentermap.com/ixp/ptt-cas.html
35	-35.28204	149.12859	AU	OCE	Canberra	ACT-IX	http://www.datacentermap.com/ixp/act-ix.html
36	-33.98892	18.50647	ZA	AFR	Cape Town	CINX	http://www.datacentermap.com/ixp/cinx.html
37	-33.98892	18.50647	ZA	AFR	Cape Town	NAPA-CT1	http://www.datacentermap.com/ixp/napa-ct1.html
38	-29.167824	-51.179382	BR	SAE	Caxias do Sul	PTT-CXJ	http://www.datacentermap.com/ixp/ptt-cxj.html
39	42.020733	-87.8302	US	NAN	Chicago	EQIX-CHI	http://www.datacentermap.com/ixp/eqix-chi.html
40	42.020733	-87.8302	US	NAN	Chicago	ChIX	http://www.datacentermap.com/ixp/chix.html
41	44.173332	28.638332	RO	EUE	Constanta	TomIX	http://www.datacentermap.com/ixp/tomix.html
42	55.69307	12.490082	DK	EUW	Copenhagen	DIX	http://www.datacentermap.com/ixp/dix.html
43	12.170911	-68.983154	CW	NAS	Curacao	CAR-IX	http://www.datacentermap.com/ixp/car-ix.html
44	-25.428356	-49.27325	BR	SAE	Curitiba	PTT-PR	http://www.datacentermap.com/ixp/ptt-pr.html
45	32.833443	-96.98181	US	NAN	Dallas	EQIX-DAL	http://www.datacentermap.com/ixp/eqix-dal.html
46	32.833443	-96.98181	US	NAN	Dallas	PAIX-DAL	http://www.datacentermap.com/ixp/paix-dal.html
47	32.833443	-96.98181	US	NAN	Dallas	TIE-DAL	http://www.datacentermap.com/ixp/tie-dal.html
48	23.70992	90.40714	BD	ASS	Dhaka	BDIX	http://www.datacentermap.com/ixp/bdix.html
49	53.34727	-6.278687	IE	EUW	Dublin	INEX	http://www.datacentermap.com/ixp/inex.html
50	-29.857002	31.024794	ZA	AFR	Durban	NAPA-DB1	http://www.datacentermap.com/ixp/napa-db1.html
51	51.165565	6.789551	DE	EUW	Düsseldorf	ECIX-DUS	http://www.datacentermap.com/ixp/ecix-dus.html
52	51.165565	6.789551	DE	EUW	Düsseldorf	OCIX	http://www.datacentermap.com/ixp/ocix.html
53	-20.241892	57.4896	MU	AFR	Ebene City	MIXP	http://www.datacentermap.com/ixp/mixp.html
54	52.22154	6.893662	NL	EUW	Enschede	NDIX	http://www.datacentermap.com/ixp/ndix.html
55	44.05207	-123.086754	US	NAN	Eugene	OIX	http://www.datacentermap.com/ixp/oix.html
56	43.76873	11.256901	IT	EUW	Florence	TIX-IT	http://www.datacentermap.com/ixp/tix-it.html
57	-27.596905	-48.549454	BR	SAE	Florianopolis	PTT-SC	http://www.datacentermap.com/ixp/ptt-sc.html
58	-3.718394	-38.543396	BR	SAE	Fortaleza	PTT-CE	http://www.datacentermap.com/ixp/ptt-ce.html
59	50.106487	8.536377	DE	EUW	Frankfurt	DE-CIX	http://www.datacentermap.com/ixp/de-cix.html
60	50.106487	8.536377	DE	EUW	Frankfurt	KleyReX	http://www.datacentermap.com/ixp/kleyrex.html
61	50.106487	8.536377	DE	EUW	Frankfurt	NetIX-FRA	http://www.datacentermap.com/ixp/netix-fra.html
62	46.149395	6.130371	CH	EUW	Geneva	CIXP	http://www.datacentermap.com/ixp/cixp.html
63	-16.677715	-49.26763	BR	SAE	Goiania	PTT-GYN	http://www.datacentermap.com/ixp/ptt-gyn.html
64	57.709282	11.972351	SE	EUW	Gothenburg	Netnod-GBG	http://www.datacentermap.com/ixp/netnod-gbg.html
65	57.709282	11.972351	SE	EUW	Gothenburg	GIX	http://www.datacentermap.com/ixp/gix.html
66	-33.31056	26.52531	ZA	AFR	Grahamstown	GINX	http://www.datacentermap.com/ixp/ginx.html
67	53.2159	6.559525	NL	EUW	Groningen	GN-IX	http://www.datacentermap.com/ixp/gn-ix.html
68	53.514187	9.975586	DE	EUW	Hamburg	WORK-IX	http://www.datacentermap.com/ixp/work-ix.html
69	53.514187	9.975586	DE	EUW	Hamburg	ECIX-HAM	http://www.datacentermap.com/ixp/ecix-ham.html
70	21.02425	105.85469	VN	ASP	Hanoi	VNIX	http://www.datacentermap.com/ixp/vnix.html
71	60.190697	24.936218	FI	EUE	Helsinki	FICIX	http://www.datacentermap.com/ixp/ficix.html
72	22.372936	114.1246	HK	ASP	Hong Kong	EQIX-HKG	http://www.datacentermap.com/ixp/eqix-hkg.html
73	22.372936	114.1246	HK	ASP	Hong Kong	HKIX	http://www.datacentermap.com/ixp/hkix.html
74	17.385044	78.48667	IN	ASS	Hyderabad	NIXI	http://www.datacentermap.com/ixp/nixi.html
75	41.01238	28.975925	TR	ASC	Istanbul	NetIX-IST	http://www.datacentermap.com/ixp/netix-ist.html
76	-6.197515	106.83041	ID	ASP	Jakarta	IIX-ID	http://www.datacentermap.com/ixp/iix-id.html
77	-26.12585	28.092041	ZA	AFR	Johannesburg	JINX	http://www.datacentermap.com/ixp/jinx.html
78	-26.12585	28.092041	ZA	AFR	Johannesburg	NAPA-JB1	http://www.datacentermap.com/ixp/napa-jb1.html
79	39.06398	-94.6225	US	NAN	Kansas City KS	KCIX	http://www.datacentermap.com/ixp/kcix.html
80	41.72084	26.3204	TR	ASC	Kapitan Andreevo	NetIX-KAN	http://www.datacentermap.com/ixp/netix-kan.html
81	27.702871	85.318245	NP	ASS	Kathmandu	NPIX	http://www.datacentermap.com/ixp/npix.html
82	27.702871	85.318245	NP	ASS	Kathmandu	NPIX	http://www.datacentermap.com/ixp/npix.html
83	50.45389	30.496674	UA	EUE	Kiev	UA-IX	http://www.datacentermap.com/ixp/ua-ix.html
84	-4.330664	15.317688	CD	AFR	Kinshasa	KINIX	http://www.datacentermap.com/ixp/kinix.html
85	6.453056	3.395833	NG	AFR	Lagos	IXPN	http://www.datacentermap.com/ixp/ixpn.html
86	-12.043333	-77.028336	PE	SAW	Lima	NAP-Peru	http://www.datacentermap.com/ixp/nap-peru.html
87	38.70266	-9.140625	PT	EUW	Lisbon	GigaPix	http://www.datacentermap.com/ixp/gigapix.html
88	51.467697	-0.142822	GB	EUW	London	LINX	http://www.datacentermap.com/ixp/linx.html
89	51.467697	-0.142822	GB	EUW	London	LONAP	http://www.datacentermap.com/ixp/lonap.html
90	51.467697	-0.142822	GB	EUW	London	LIPEX	http://www.datacentermap.com/ixp/lipex.html
91	51.467697	-0.142822	GB	EUW	London	NetIX-LON	http://www.datacentermap.com/ixp/netix-lon.html
92	-23.29273	-51.173206	BR	SAE	Londrina	PTT-LDA	http://www.datacentermap.com/ixp/ptt-lda.html
93	33.83848	-117.855835	US	NAN	Los Angeles	EQIX-LA	http://www.datacentermap.com/ixp/eqix-la.html
94	33.83848	-117.855835	US	NAN	Los Angeles	LAIIX	http://www.datacentermap.com/ixp/laiix.html
95	33.83848	-117.855835	US	NAN	Los Angeles	CIIX	http://www.datacentermap.com/ixp/ciix.html
96	-8.813513	13.237476	AO	AFR	Luanda	ANG-IXP	http://www.datacentermap.com/ixp/ang-ixp.html
97	65.58416	22.154749	FI	EUE	Lulea	Netnod-LUL	http://www.datacentermap.com/ixp/netnod-lul.html
98	49.61071	6.122131	FR	EUW	Luxembourg	LIX	http://www.datacentermap.com/ixp/lix.html
99	49.61071	6.122131	FR	EUW	Luxembourg	LU-CIX	http://www.datacentermap.com/ixp/lu-cix.html
100	45.766563	4.838104	FR	EUW	Lyon	Lyonix	http://www.datacentermap.com/ixp/lyonix.html
101	40.405132	-3.658447	ES	EUW	Madrid	ESpanix	http://www.datacentermap.com/ixp/espanix.html
102	40.405132	-3.658447	ES	EUW	Madrid	TMRK-MAD	http://www.datacentermap.com/ixp/tmrk-mad.html
103	14.55	121.03333	PH	ASP	Makati City	PHOpenIX	http://www.datacentermap.com/ixp/phopenix.html
104	55.592316	13.010559	SE	EUW	Malmö	Netnod-MMO	http://www.datacentermap.com/ixp/netnod-mmo.html
105	55.592316	13.010559	SE	EUW	Malmö	MalmIX	http://www.datacentermap.com/ixp/malmix.html
106	-3.106409	-60.02643	BR	SAE	Manaus	PTT-MAO	http://www.datacentermap.com/ixp/ptt-mao.html
107	53.48028	-2.248077	GB	EUW	Manchester	MaNAP	http://www.datacentermap.com/ixp/manap.html
108	-25.968945	32.56955	MZ	AFR	Maputo	Moz-ix	http://www.datacentermap.com/ixp/moz-ix.html
109	42.327877	-122.86829	US	NAN	Medford	SOAX	http://www.datacentermap.com/ixp/soax.html
110	-37.87485	145.0415	AU	OCE	Melbourne	AUSIX	http://www.datacentermap.com/ixp/ausix.html
111	25.785053	-80.24414	US	NAN	Miami	TMRK-MIA	http://www.datacentermap.com/ixp/tmrk-mia.html
112	45.4688	9.177704	IT	EUW	Milan	MIX-IT	http://www.datacentermap.com/ixp/mix-it.html
113	45.4688	9.177704	IT	EUW	Milan	MINAP	http://www.datacentermap.com/ixp/minap.html
114	44.964798	-93.20801	US	NAN	Minneapolis	MICE	http://www.datacentermap.com/ixp/mice.html
115	45.521744	-73.67432	CA	NAN	Montreal	PIX-MON	http://www.datacentermap.com/ixp/pix-mon.html
116	45.521744	-73.67432	CA	NAN	Montreal	QIX	http://www.datacentermap.com/ixp/qix.html
117	55.739483	37.619934	RU	EUE	Moscow	MSK-IX	http://www.datacentermap.com/ixp/msk-ix.html
118	35.897778	14.489444	IT	EUW	Msida	MIX-MA	http://www.datacentermap.com/ixp/mix-ma.html
119	48.13677	11.557617	DE	EUW	Munich	INXS	http://www.datacentermap.com/ixp/inxs.html
120	-1.274359	36.813107	KE	AFR	Nairobi	KIXP	http://www.datacentermap.com/ixp/kixp.html
121	-5.794479	-35.210953	BR	SAE	Natal	PTT-NAT	http://www.datacentermap.com/ixp/ptt-nat.html
122	40.76182	-73.92288	US	NAN	New York	EQIX-NYC	http://www.datacentermap.com/ixp/eqix-nyc.html
123	40.76182	-73.92288	US	NAN	New York	NYIIX	http://www.datacentermap.com/ixp/nyiix.html
124	40.76182	-73.92288	US	NAN	New York	Big-APE	http://www.datacentermap.com/ixp/big-ape.html
125	40.76182	-73.92288	US	NAN	New York	PAIX-NYC	http://www.datacentermap.com/ixp/paix-nyc.html
126	40.76182	-73.92288	US	NAN	New York	TIE-NYC	http://www.datacentermap.com/ixp/tie-nyc.html
127	49.44313	11.070099	DE	EUW	Nuremberg	N-IX	http://www.datacentermap.com/ixp/n-ix.html
128	34.693737	135.50217	JP	ASP	Osaka	JPNAP-OSA	http://www.datacentermap.com/ixp/jpnap-osa.html
129	59.908222	10.739136	NO	EUW	Oslo	NIX	http://www.datacentermap.com/ixp/nix.html
130	59.908222	10.739136	NO	EUW	Oslo	FIXO	http://www.datacentermap.com/ixp/fixo.html
131	45.41157	-75.6982	CA	NAN	Ottawa	OttIX	http://www.datacentermap.com/ixp/ottix.html
132	37.432343	-122.1508	US	NAN	Palo Alto	PAIX-PAO	http://www.datacentermap.com/ixp/paix-pao.html
133	48.839413	2.334595	FR	EUW	Paris	SFINX	http://www.datacentermap.com/ixp/sfinx.html
134	48.839413	2.334595	FR	EUW	Paris	POUIX	http://www.datacentermap.com/ixp/pouix.html
135	48.839413	2.334595	FR	EUW	Paris	EQIX-PAR	http://www.datacentermap.com/ixp/eqix-par.html
136	48.839413	2.334595	FR	EUW	Paris	France-IX	http://www.datacentermap.com/ixp/france-ix.html
137	48.839413	2.334595	FR	EUW	Paris	NetIX-PAR	http://www.datacentermap.com/ixp/netix-par.html
138	-31.982452	115.86731	AU	OCE	Perth	WAIX	http://www.datacentermap.com/ixp/waix.html
139	11.558831	104.91744	KH	ASP	Phnom Penh	HTN-CIX	http://www.datacentermap.com/ixp/htn-cix.html
140	33.461235	-111.997375	US	NAN	Phoenix	PHX-IX	http://www.datacentermap.com/ixp/phx-ix.html
141	33.461235	-111.997375	US	NAN	Phoenix	TIE-PHX	http://www.datacentermap.com/ixp/tie-phx.html
142	40.438587	-79.94476	US	NAN	Pittsburgh	PitX	http://www.datacentermap.com/ixp/pitx.html
143	45.494797	-122.63626	US	NAN	Portland	NWAX	http://www.datacentermap.com/ixp/nwax.html
