% Index	Latitude	Longitude	Country code	Subcontinental Zone code	Locality	Provider Name	Provider URL
224	40.17887	-89.384766	US	NAN	illinois	cloud3k	http://www.datacentermap.com/cloud/cloud3k.html
225	40.17887	-89.384766	US	NAN	illinois	GigeNET Cloud	http://www.datacentermap.com/cloud/gigenetcloud.html
226	40.17887	-89.384766	US	NAN	illinois	Server Axis Corporation	http://www.datacentermap.com/cloud/server-axis-corporation.html
227	40.17887	-89.384766	US	NAN	illinois	vpsnine	http://www.datacentermap.com/cloud/vpsnine.html
228	39.77477	-86.396484	US	NAN	indiana	cloud3k	http://www.datacentermap.com/cloud/cloud3k.html
229	39.77477	-86.396484	US	NAN	indiana	expedient public cloud	http://www.datacentermap.com/cloud/expedient-public-cloud.html
230	39.77477	-86.396484	US	NAN	indiana	expedient private cloud	http://www.datacentermap.com/cloud/expedient-private-cloud.html
231	39.77477	-86.396484	US	NAN	indiana	expedient hybrid cloud	http://www.datacentermap.com/cloud/expedient-hybrid-cloud.html
232	37.509727	-85.166016	US	NAN	kentucky	HOSTING	http://www.datacentermap.com/cloud/hosting.html
233	31.244823	-92.14503	US	NAN	louisiana	IaaSer.com	http://www.datacentermap.com/cloud/iaaser.html
234	38.993572	-76.59668	US	NAN	maryland	expedient public cloud	http://www.datacentermap.com/cloud/expedient-public-cloud.html
235	38.993572	-76.59668	US	NAN	maryland	expedient private cloud	http://www.datacentermap.com/cloud/expedient-private-cloud.html
236	38.993572	-76.59668	US	NAN	maryland	expedient hybrid cloud	http://www.datacentermap.com/cloud/expedient-hybrid-cloud.html
237	38.993572	-76.59668	US	NAN	maryland	OCOSA Cloud	http://www.datacentermap.com/cloud/ocosa-cloud.html
238	41.96766	-71.45508	US	NAN	massachusetts	cloud hosting	http://www.datacentermap.com/cloud/cloud-hosting.html
239	41.96766	-71.45508	US	NAN	massachusetts	navisite europe ltd	http://www.datacentermap.com/cloud/navisite-europe.html
240	41.96766	-71.45508	US	NAN	massachusetts	expedient public cloud	http://www.datacentermap.com/cloud/expedient-public-cloud.html
241	41.96766	-71.45508	US	NAN	massachusetts	expedient private cloud	http://www.datacentermap.com/cloud/expedient-private-cloud.html
242	41.96766	-71.45508	US	NAN	massachusetts	expedient hybrid cloud	http://www.datacentermap.com/cloud/expedient-hybrid-cloud.html
243	43.45292	-84.506836	US	NAN	michigan	StormOnDemand	http://www.datacentermap.com/cloud/stormondemand.html
244	43.45292	-84.506836	US	NAN	michigan	Managed Cloud Hosting	http://www.datacentermap.com/cloud/managed-cloud-hosting.html
245	38.61687	-92.54883	US	NAN	missouri	CoSentry	http://www.datacentermap.com/cloud/cosentry.html
246	38.61687	-92.54883	US	NAN	missouri	hostirian cloud	http://www.datacentermap.com/cloud/hostirian-cloud.html
247	47.100044	-109.77539	US	NAN	montana	parsec data management	http://www.datacentermap.com/cloud/parsec-data-management.html
248	41.37681	-100.458984	US	NAN	nebraska	CoSentry	http://www.datacentermap.com/cloud/cosentry.html
249	39.027718	-116.98242	US	NAN	nevada	cloud3k	http://www.datacentermap.com/cloud/cloud3k.html
250	39.027718	-116.98242	US	NAN	nevada	syptec cloud	http://www.datacentermap.com/cloud/syptec-cloud.html
251	39.50404	-74.88281	US	NAN	new-jersey	Atlantic Metro vCLOUD	http://www.datacentermap.com/cloud/amc-cloud.html
252	39.50404	-74.88281	US	NAN	new-jersey	cloud3k	http://www.datacentermap.com/cloud/cloud3k.html
253	39.50404	-74.88281	US	NAN	new-jersey	Linode	http://www.datacentermap.com/cloud/linode.html
254	39.50404	-74.88281	US	NAN	new-jersey	infiniCloud logicworks	http://www.datacentermap.com/cloud/infinicloud-logicworks.html
255	39.50404	-74.88281	US	NAN	new-jersey	Solar VPS	http://www.datacentermap.com/cloud/solar-vps.html
256	42.61779	-75.234375	US	NAN	new-york	Atlantic Metro vCLOUD	http://www.datacentermap.com/cloud/amc-cloud.html
257	42.61779	-75.234375	US	NAN	new-york	Qube Virtual Data Center	http://www.datacentermap.com/cloud/qube-virtual-data-center.html
258	42.61779	-75.234375	US	NAN	new-york	earthlink virtualization services	http://www.datacentermap.com/cloud/earthlink-virtualization.html
259	42.61779	-75.234375	US	NAN	new-york	infiniCloud logicworks	http://www.datacentermap.com/cloud/infinicloud-logicworks.html
260	42.61779	-75.234375	US	NAN	new-york	Shatter I.T.	http://www.datacentermap.com/cloud/shatter-it.html
261	42.61779	-75.234375	US	NAN	new-york	inerail	http://www.datacentermap.com/cloud/inerail.html
262	42.61779	-75.234375	US	NAN	new-york	vpsnine	http://www.datacentermap.com/cloud/vpsnine.html
263	35.675148	-80.06836	US	NAN	north-carolina	navisite europe ltd	http://www.datacentermap.com/cloud/navisite-europe.html
264	40.446945	-83.05664	US	NAN	ohio	expedient public cloud	http://www.datacentermap.com/cloud/expedient-public-cloud.html
265	40.446945	-83.05664	US	NAN	ohio	expedient private cloud	http://www.datacentermap.com/cloud/expedient-private-cloud.html
266	40.446945	-83.05664	US	NAN	ohio	expedient hybrid cloud	http://www.datacentermap.com/cloud/expedient-hybrid-cloud.html
267	40.446945	-83.05664	US	NAN	ohio	intercloud	http://www.datacentermap.com/cloud/intercloud.html
268	35.532227	-97.822266	US	NAN	oklahoma	OCOSA Cloud	http://www.datacentermap.com/cloud/ocosa-cloud.html
269	43.707596	-121.02539	US	NAN	oregon	data center west	http://www.datacentermap.com/cloud/data-center-west.html
270	43.707596	-121.02539	US	NAN	oregon	opus private cloud	http://www.datacentermap.com/cloud/opus-private-cloud.html
271	40.78054	-77.51953	US	NAN	pennsylvania	Xen Cloud Services from Netrepid	http://www.datacentermap.com/cloud/cloud-services-from-netrepid.html
272	40.78054	-77.51953	US	NAN	pennsylvania	open source cloud from netrepid	http://www.datacentermap.com/cloud/open-source-cloud-from-netrepid.html
273	40.78054	-77.51953	US	NAN	pennsylvania	ipr international - zoneit	http://www.datacentermap.com/cloud/ipr-international-zoneit.html
274	40.78054	-77.51953	US	NAN	pennsylvania	expedient public cloud	http://www.datacentermap.com/cloud/expedient-public-cloud.html
275	40.78054	-77.51953	US	NAN	pennsylvania	expedient private cloud	http://www.datacentermap.com/cloud/expedient-private-cloud.html
276	40.78054	-77.51953	US	NAN	pennsylvania	expedient hybrid cloud	http://www.datacentermap.com/cloud/expedient-hybrid-cloud.html
277	40.78054	-77.51953	US	NAN	pennsylvania	sierra data centers	http://www.datacentermap.com/cloud/sierra-data-centers.html
278	40.78054	-77.51953	US	NAN	pennsylvania	dbsi	http://www.datacentermap.com/cloud/dbsi.html
279	41.607227	-71.49902	US	NAN	rhode-island	provnet	http://www.datacentermap.com/cloud/provnet.html
280	44.465153	-100.458984	US	NAN	south-dakota	CoSentry	http://www.datacentermap.com/cloud/cosentry.html
281	31.728167	-99.4043	US	NAN	texas	Rackspace Cloud	http://www.datacentermap.com/cloud/rackspacecloud.html
